catagory,quantity,item description,condition,Estimated per item value,how value was determined,Low Estimate Value,Summary of Methodology
,1,"Framed patent award 8x11. paper, cheap wooden frame",good,,,150,The value estimation was made by analyzing the prices of similar items available from reputable sources specializing in patent awards and certificates. Two specific examples were products from PatentAwards.com and USPatentServices.com.
,1,Framed IBM award 8x11 (technical achievement) cheap wooden frame,good,,,$50,"The estimate for the framed IBM Technical Achievement Award is based on multiple factors. These include the quality of the frame, the significance of the award, and market demand. Frame quality is typically priced between $5 and $20, based on materials and craftsmanship. The significance of the award mostly holds sentimental value unless the award is associated with a notable individual or achievement. Market demand is considered limited in secondary markets for corporate award memorabilia. The pricing estimate is also compared with similar corporate award plaques and certificates listed on various online marketplaces."
,1,"Michale Parks Poster, in matt black aluminum frame",fair,,,50,"The valuation considers the popularity of the artist, the condition of the poster and frame, and market prices for similar items."
,1,"Michale Parks Poster, in matt black aluminum frame",fair,,,Error extracting data,"invalid syntax (<string>, line 1)"
,1,"Maxfield Parrish ""daybreak"" in wooden frame",poor,,,Error extracting data,"unterminated string literal (detected at line 1) (<string>, line 1)"
All the art I have created and things I’ve made,1,"metal firepit, rusty, hand made by me",poor,,,$0,"The value estimate is based on the condition of the fire pit, its handmade nature and market listings. The poor state and rust significantly diminish its value. Comparable market listings include similar used fire pits that are often listed at minimal prices or for free, like a rusty steel fire pit on Facebook Marketplace being offered for free."
,1,metal sphere hand made by me,poor,,,$0,"The estimate for the metal sphere's value is based on its current condition, market listings for similar items, and the value of scrap metal. Its poor condition has greatly reduced its potential value. Similar pieces in better condition seen on Etsy range from $100 to $500. If it cannot be sold as a decorative item, its value as scrap metal is considered."
,1,small metal sculpture made by me,poor,,,$0,"The estimation is based on factors including the poor condition of the sculpture, market listings of similar small metal sculptures in good condition, and the price for scrap steel. Additionally, the comparison with a similar item on Etsy was used."
books and magazines,200,200 miscalanious sci fi paperback,good,,,$200,"The valuation methodology took into account various factors such as the condition of the books, market demand for science fiction paperbacks, and insight from similar bulk sale listings on platforms like eBay and The Book Bundler. A specific eBay listing for 127 vintage sci-fi paperback novels was used as a comparable item."
,50,"magazine ""Heavy Metal"" pre 2005",fair,,,$5,"The estimate considers the condition of the magazine, the date of publication, and similar market listings to assess the value."
,50,50 10-year old hardback textbooks and reference materials,good,,,750,"The valuation takes into consideration factors like depreciation over time, as textbooks and reference materials lose value when new editions are released and when the information becomes outdated. The condition of the books is also factored in, with books in good condition having more appeal to buyers and selling at higher prices. The market demand for specific subjects or titles also influences the value of the books. Additionally, a practical example, comparing buyback prices from various vendors on BookScouter, was used for reference."
,3,signed books by Edward Tuft,good,,,50,"The estimate considers several factors such as the reputation of the author Edward Tufte, the condition of the books, and examination of similar listings in the market. Specifically, listings on eBay and Edward Tufte's website were looked at for comparison."
clothing,200,shirts (dress and Tshirts),good,,,25%,"The estimate of the item's value consider factors such as the condition of the garment, the brand and quality of the material, and the current market demand. Researching similar items on resale platforms is recommended to provide insight into current market valuations."
,50,pants,good,,,25%,"The value of pre-owned pants is estimated considering several factors. These include the condition of the garment, where higher prices can be expected for items with minimal wear and no defects. The brand and quality of the material also play a role, as high-end brands or quality materials significantly increase resale value. Lastly, market demand in the form of popularity of certain styles or brands influence pricing. Useful information can be obtained by researching similar items on resale platforms for current market valuations."
,5,suit jackets,good,,,25%,"The valuation methodology considers several factors such as the current condition of the suit jackets, the brand and quality of the jackets, and the market demand. The resale value of the jackets is determined based on these factors, which typically ranges from 25% to 40% of the original retail price. The popularity of certain styles or brands also influences the pricing. Further, a general guideline suggests pricing used clothing items at about 25% to 33% of their original retail price, depending on the brand and condition."
,1,"Leather ""duster"" coat",poor,,,20,"The estimate considers several factors such as the condition of the item and market listings of similar items. Analysis of similar items, like the eBay listing of a vintage leather duster coat priced at $89.99, gives insights into current market valuations. Given the coat's poor condition, the estimated value is proportionally lower."
,1,"pair of ""faragamo"" shoes 2001",poor,,,20,The estimation process considers a variety of factors such as the condition of the shoes and market listings for similar items. A comparison was made with a Poshmark listing of Ferragamo sandals in poor condition priced at $49 to provide a value figure.
,3,Pair dress shoes,poor,,,5,"The value estimate considers the shoes' condition, analyzing similar items' value in the market. For the evaluation, listings of similar pre-owned men's dress shoes on eBay were used as references."
,2,pair Work boots,Poor,,,$5,"The estimate for the value of the work boots was done by considering factors such as condition and market listings. Condition involves the level of wear, damage, and need for repairs for the boots. Market listings are analyzed by considering the prices of similar items in current marketplaces, specifically referencing used work boot listings on eBay."
,1,"""bomber"" jacket given to me by my biological father",poor,,,$20,"The valuation of the jacket was based on factors such as its poor condition, similar market listings, and examples from eBay. The jacket's poor state reduces its appeal as collectors often seek better condition items. Market listings of similar items and a specific example of a vintage retro unisex teal satin bomber jacket from eBay were also considered."
,10,pair misc shoes/sandals,poor,,,$5,"The valuation methodology considers the shoes' condition and compares market listings on platforms like eBay and Poshmark. It assumes that shoes in poor condition that exhibit significant wear, damage, or require repair have lower resale value. Further, the prices of similar items listed on the market were analyzed for comparison."
,5,Winter Jacket,poor,,,5,"The estimate considers the jacket's condition, analyzes similar market listings, and uses a specific listing priced at $21.00 on eBay as a comparable item."
Electronics,1,30 year old tech tronics ociliscope,fair,,,$100,"The valuation considers the model and specifications of the Tektronix oscilloscope, the decreased value over time due to technology advancements (depreciation), and analyzes market listings of comparable items."
,1,30 year old frequency generator,fair,,,$100,"The estimation of the value considers factors like the age and condition of the frequency generator, and market listings of similar items. For instance, an Agilent 33120A 15MHz Function/Arbitrary Waveform Generator in fair condition listed on eBay for $188.61 has been used as a reference."
,1,AV stereo reciever,good,,,$100,"The valuation methodology includes considering the condition of the receiver, the brand and model of the receiver, and the current market demand and prices for similar items on resale platforms."
